customer_state,year,month,order_count,total_sales,period
AC,2017,1,2,1657.33,24205
AC,2017,2,3,1289.08,24206
AC,2017,3,2,530.1800000000001,24207
AC,2017,4,5,1351.51,24208
AC,2017,5,8,2382.6400000000003,24209
AC,2017,6,4,510.27,24210
AC,2017,7,5,794.4,24211
AC,2017,8,4,765.83,24212
AC,2017,9,5,2029.23,24213
AC,2017,10,6,958.17,24214
AC,2017,11,5,945.16,24215
AC,2017,12,5,1855.76,24216
AC,2018,1,6,1157.89,24217
AC,2018,2,3,299.22,24218
AC,2018,3,2,164.67000000000002,24219
AC,2018,4,4,588.17,24220
AC,2018,5,2,1501.42,24221
AC,2018,6,3,597.26,24222
AC,2018,7,4,5002.150000000001,24223
AC,2018,8,3,604.52,24224
AL,2016,10,2,129.89999999999998,24202
AL,2017,1,2,748.78,24205
AL,2017,2,12,2967.87,24206
AL,2017,3,10,1421.5,24207
AL,2017,4,23,5572.05,24208
AL,2017,5,27,5827.13,24209
AL,2017,6,10,1276.02,24210
AL,2017,7,17,3808.0299999999997,24211
AL,2017,8,18,11945.48,24212
AL,2017,9,20,5191.65,24213
AL,2017,10,28,9283.38,24214
AL,2017,11,26,12699.289999999999,24215
AL,2017,12,12,2680.7599999999998,24216
AL,2018,1,37,7398.62,24217
AL,2018,2,27,6125.35,24218
AL,2018,3,30,8880.59,24219
AL,2018,4,28,7908.19,24220
AL,2018,5,19,4393.1,24221
AL,2018,6,24,5124.95,24222
AL,2018,7,23,4825.2,24223
AL,2018,8,16,3076.58,24224
AM,2017,2,8,1122.54,24206
AM,2017,3,5,1016.25,24207
AM,2017,4,13,1176.23,24208
AM,2017,5,9,1321.68,24209
AM,2017,6,1,204.84,24210
AM,2017,7,5,1845.58,24211
AM,2017,8,5,1673.6299999999999,24212
AM,2017,9,9,2157.1,24213
AM,2017,10,3,164.56,24214
AM,2017,11,10,3001.01,24215
AM,2017,12,6,1173.6200000000001,24216
AM,2018,1,12,3433.46,24217
AM,2018,2,8,5128.02,24218
AM,2018,3,9,2023.46,24219
AM,2018,4,6,893.49,24220
AM,2018,5,9,2192.48,24221
AM,2018,6,7,1992.94,24222
AM,2018,7,18,3719.91,24223
AM,2018,8,4,512.5,24224
AP,2017,2,2,2003.8,24206
AP,2017,3,3,667.93,24207
AP,2017,5,5,1508.8400000000001,24209
AP,2017,6,2,643.8,24210
AP,2017,7,1,292.39,24211
AP,2017,8,3,472.58,24212
AP,2017,9,2,1245.2,24213
AP,2017,10,3,1696.74,24214
AP,2017,11,4,967.1299999999999,24215
AP,2017,12,4,770.5600000000001,24216
AP,2018,1,11,4433.32,24217
AP,2018,2,2,1086.31,24218
AP,2018,3,5,704.54,24219
AP,2018,4,5,1509.0,24220
AP,2018,5,6,1521.61,24221
AP,2018,6,2,247.92000000000002,24222
AP,2018,7,6,1613.6299999999999,24223
AP,2018,8,2,257.4,24224
BA,2016,10,4,995.34,24202
BA,2017,1,25,5153.65,24205
BA,2017,2,59,9869.0,24206
BA,2017,3,91,24673.93,24207
BA,2017,4,92,26501.7,24208
BA,2017,5,125,27622.94,24209
BA,2017,6,105,32232.19,24210
BA,2017,7,151,26081.73,24211
BA,2017,8,158,38663.12,24212
BA,2017,9,170,33439.1,24213
BA,2017,10,164,36910.04,24214
BA,2017,11,245,57003.22,24215
BA,2017,12,192,43227.5,24216
BA,2018,1,235,55790.7,24217
BA,2018,2,214,70708.7,24218
BA,2018,3,248,63102.27,24219
BA,2018,4,225,44474.75,24220
BA,2018,5,239,57039.59,24221
BA,2018,6,201,58597.54,24222
BA,2018,7,250,55895.63,24223
BA,2018,8,164,29167.84,24224
CE,2016,10,7,1949.78,24202
CE,2017,1,9,1266.13,24205
CE,2017,2,13,2581.97,24206
CE,2017,3,26,7388.88,24207
CE,2017,4,43,7720.23,24208
CE,2017,5,62,13277.86,24209
CE,2017,6,45,11557.01,24210
CE,2017,7,53,11829.49,24211
CE,2017,8,73,15813.4,24212
CE,2017,9,77,31601.02,24213
CE,2017,10,65,16264.380000000001,24214
CE,2017,11,108,28025.87,24215
CE,2017,12,81,14463.79,24216
CE,2018,1,90,27586.49,24217
CE,2018,2,88,19934.89,24218
CE,2018,3,98,32757.28,24219
CE,2018,4,100,22013.47,24220
CE,2018,5,73,14627.89,24221
CE,2018,6,74,22740.35,24222
CE,2018,7,87,25707.61,24223
CE,2018,8,55,14740.04,24224
DF,2016,10,6,1498.71,24202
DF,2017,1,13,2427.3,24205
DF,2017,2,24,10951.56,24206
DF,2017,3,56,9906.06,24207
DF,2017,4,35,10622.76,24208
DF,2017,5,64,10716.97,24209
DF,2017,6,70,13084.55,24210
DF,2017,7,75,20738.16,24211
DF,2017,8,86,13813.42,24212
DF,2017,9,96,18390.94,24213
DF,2017,10,96,18676.74,24214
DF,2017,11,162,41648.62,24215
DF,2017,12,131,25110.010000000002,24216
DF,2018,1,138,25421.69,24217
DF,2018,2,171,29831.88,24218
DF,2018,3,150,30445.39,24219
DF,2018,4,148,26275.75,24220
DF,2018,5,144,34511.55,24221
DF,2018,6,150,27933.19,24222
DF,2018,7,166,30479.1,24223
DF,2018,8,144,30139.38,24224
ES,2016,10,4,1067.14,24202
ES,2017,1,11,2492.58,24205
ES,2017,2,34,6453.33,24206
ES,2017,3,48,7902.93,24207
ES,2017,4,46,7155.21,24208
ES,2017,5,93,19648.88,24209
ES,2017,6,79,14077.6,24210
ES,2017,7,82,11533.33,24211
ES,2017,8,95,18274.97,24212
ES,2017,9,93,16985.44,24213
ES,2017,10,100,14866.51,24214
ES,2017,11,170,34185.75,24215
ES,2017,12,111,15136.57,24216
ES,2018,1,146,26342.08,24217
ES,2018,2,151,24048.6,24218
ES,2018,3,134,23440.24,24219
ES,2018,4,142,25090.76,24220
ES,2018,5,134,30070.31,24221
ES,2018,6,124,26667.09,24222
ES,2018,7,123,58276.4,24223
ES,2018,8,105,22089.62,24224
GO,2016,10,8,1154.67,24202
GO,2017,1,18,16112.37,24205
GO,2017,2,27,3159.27,24206
GO,2017,3,50,14008.08,24207
GO,2017,4,41,8506.18,24208
GO,2017,5,86,21155.16,24209
GO,2017,6,79,12460.21,24210
GO,2017,7,77,11830.89,24211
GO,2017,8,92,64008.46000000001,24212
GO,2017,9,88,24317.04,24213
GO,2017,10,107,28007.219999999998,24214
GO,2017,11,156,30801.77,24215
GO,2017,12,127,20332.38,24216
GO,2018,1,146,26559.85,24217
GO,2018,2,149,27234.97,24218
GO,2018,3,146,50319.42,24219
GO,2018,4,134,26207.35,24220
GO,2018,5,138,35391.34,24221
GO,2018,6,105,18928.02,24222
GO,2018,7,115,48830.0,24223
GO,2018,8,118,24554.35,24224
MA,2016,10,4,4124.85,24202
MA,2017,1,7,798.1,24205
MA,2017,2,11,1195.23,24206
MA,2017,3,23,3625.27,24207
MA,2017,4,26,4235.83,24208
MA,2017,5,33,4658.15,24209
MA,2017,6,17,2358.23,24210
MA,2017,7,39,8573.74,24211
MA,2017,8,39,8395.2,24212
MA,2017,9,42,12309.45,24213
MA,2017,10,48,18597.24,24214
MA,2017,11,55,15222.28,24215
MA,2017,12,41,8522.68,24216
MA,2018,1,57,15296.2,24217
MA,2018,2,55,16923.989999999998,24218
MA,2018,3,53,15068.55,24219
MA,2018,4,46,10452.51,24220
MA,2018,5,32,24965.21,24221
MA,2018,6,42,8557.13,24222
MA,2018,7,40,9361.07,24223
MA,2018,8,30,5325.36,24224
MG,2016,10,40,6987.83,24202
MG,2017,1,106,26487.82,24205
MG,2017,2,251,43401.37,24206
MG,2017,3,352,64062.12,24207
MG,2017,4,275,60571.22,24208
MG,2017,5,424,67800.7,24209
MG,2017,6,360,62895.36,24210
MG,2017,7,445,81221.14,24211
MG,2017,8,466,84162.49,24212
MG,2017,9,501,113806.59,24213
MG,2017,10,553,114919.15,24214
MG,2017,11,932,227628.11,24215
MG,2017,12,681,132534.46,24216
MG,2018,1,860,171528.4,24217
MG,2018,2,800,149114.39,24218
MG,2018,3,876,165169.74,24219
MG,2018,4,786,159743.31,24220
MG,2018,5,759,172501.9,24221
MG,2018,6,717,153551.04,24222
MG,2018,7,656,135096.98,24223
MG,2018,8,704,132967.52,24224
MS,2017,1,1,170.36,24205
MS,2017,2,11,8202.24,24206
MS,2017,3,19,8412.26,24207
MS,2017,4,15,2499.12,24208
MS,2017,5,27,4501.38,24209
MS,2017,6,27,5218.6,24210
MS,2017,7,25,5290.6900000000005,24211
MS,2017,8,24,6189.04,24212
MS,2017,9,32,5927.3,24213
MS,2017,10,33,10547.87,24214
MS,2017,11,46,8797.7,24215
MS,2017,12,36,7359.1,24216
MS,2018,1,70,13512.1,24217
MS,2018,2,64,14757.53,24218
MS,2018,3,58,10885.52,24219
MS,2018,4,43,8732.66,24220
MS,2018,5,45,12380.25,24221
MS,2018,6,49,13430.11,24222
MS,2018,7,49,10000.2,24223
MS,2018,8,35,7523.25,24224
MT,2016,10,2,604.0699999999999,24202
MT,2017,1,11,3346.92,24205
MT,2017,2,17,4128.18,24206
MT,2017,3,16,4758.53,24207
MT,2017,4,27,4887.71,24208
MT,2017,5,37,8323.84,24209
MT,2017,6,25,4948.29,24210
MT,2017,7,38,14420.25,24211
MT,2017,8,38,14552.8,24212
MT,2017,9,35,10322.27,24213
MT,2017,10,50,19442.99,24214
MT,2017,11,74,21891.04,24215
MT,2017,12,50,13009.5,24216
MT,2018,1,85,17893.07,24217
MT,2018,2,67,10519.24,24218
MT,2018,3,55,12787.07,24219
MT,2018,4,65,14797.23,24220
MT,2018,5,66,18656.4,24221
MT,2018,6,58,31117.98,24222
MT,2018,7,47,18118.91,24223
MT,2018,8,40,8278.33,24224
PA,2016,10,4,1804.49,24202
PA,2017,1,12,3764.09,24205
PA,2017,2,25,12105.199999999999,24206
PA,2017,3,35,12720.0,24207
PA,2017,4,36,7169.45,24208
PA,2017,5,35,6570.7,24209
PA,2017,6,38,6918.59,24210
PA,2017,7,39,8206.6,24211
PA,2017,8,58,21953.829999999998,24212
PA,2017,9,41,8937.98,24213
PA,2017,10,53,11022.83,24214
PA,2017,11,70,16376.44,24215
PA,2017,12,58,13996.369999999999,24216
PA,2018,1,70,20015.63,24217
PA,2018,2,58,16658.16,24218
PA,2018,3,73,18366.11,24219
PA,2018,4,71,17738.96,24220
PA,2018,5,40,11684.67,24221
PA,2018,6,54,13693.23,24222
PA,2018,7,57,17053.51,24223
PA,2018,8,43,15031.51,24224
PB,2016,10,1,74.74,24202
PB,2017,1,2,463.13,24205
PB,2017,2,12,2544.3,24206
PB,2017,3,16,5533.51,24207
PB,2017,4,20,3828.8,24208
PB,2017,5,18,3887.03,24209
PB,2017,6,23,8001.360000000001,24210
PB,2017,7,27,11661.96,24211
PB,2017,8,16,4494.2,24212
PB,2017,9,28,7979.12,24213
PB,2017,10,29,12757.89,24214
PB,2017,11,29,6286.33,24215
PB,2017,12,37,7920.91,24216
PB,2018,1,31,8240.94,24217
PB,2018,2,35,9202.02,24218
PB,2018,3,39,11935.51,24219
PB,2018,4,31,5923.24,24220
PB,2018,5,29,6113.75,24221
PB,2018,6,28,15856.67,24222
